Name,Height/m,Soil Type,Match Location,Match Date,Temperature/F,Humidity/%,Dew Point/F,Wind Speed/mph,Age /years, Ball Type,Status,Over,Speed/mph,Wicket,Direction,side,Innings,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4w,5w,10,Class
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,82.6,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,85.5,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,86,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,86.6,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,85.9,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.4,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,86.6,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,extra
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.6,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,high_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,81.3,0,middle,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,84.6,0,leg,,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,86.2,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,85.6,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,82.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,86.2,0,middle,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,83.8,0,middle,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.1,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.1,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.3,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,84.6,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87.5,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,87,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,83.2,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp1,78.2,0,leg,right,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,81.9,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,84.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,82.2,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.5,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,high_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.6,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.8,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.7,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,85.5,0,middle,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,85.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,85.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,high_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.5,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,71.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,71.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,extra
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,86.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,85.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,86.9,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp2,83.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,85.7,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,84.4,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,dot
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,85.4,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,72.3,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,86.9,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,86.3,0,leg,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
Kagiso Kabada,1.91,podzol,Colombo,12/8/2018,high,high,high,low,23,raf,Lost,pp3,86.2,0,off,left,1,66,65,3374,2802,106,26.43,4.98,31.8,6,1,0,low_run
